Model,CV F1,Train F1,Accuracy,Precision,Recall,F1 Score,Overfitting Gap
XGBoost,0.9486961225477201,0.970309021284175,0.9489963568826345,0.9445466119677465,0.9539934276325189,0.9492465169178277,0.021062504366347268
Random Forest,0.9427480352622851,1.0,0.9465676119722838,0.942642685172072,0.9509929989998571,0.9467994310099573,0.05320056899004266
Decision Tree,0.9164871851792844,1.0,0.9179227087649118,0.9144233493907623,0.9221317331047293,0.9182613644447606,0.08173863555523941
Logistic Regression,0.9143572376874282,0.9145481959395491,0.9156368312022287,0.9019066040342636,0.9327046720960137,0.9170471307157406,-0.0024989347761915637
